"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 03 19:44:42 UTC 2025","Fri Jan 03 19:44:42 UTC 2025","4","AppCreating.TestEnv","test_main","TestEmployeeApp","","","test_delete_last_employee","Тест удаления последнего сотрудника."
"passed","Fri Jan 03 19:44:42 UTC 2025","Fri Jan 03 19:44:42 UTC 2025","23","AppCreating.TestEnv","test_main","TestEmployeeApp","","","test_add_employee","Тест добавления сотрудника с корректными данными."
"passed","Fri Jan 03 19:44:42 UTC 2025","Fri Jan 03 19:44:42 UTC 2025","2","AppCreating.TestEnv","test_main","TestEmployeeApp","","","test_invalid_salary","Тест добавления сотрудника с некорректной зарплатой."
"passed","Fri Jan 03 19:44:42 UTC 2025","Fri Jan 03 19:44:42 UTC 2025","2","AppCreating.TestEnv","test_main","TestEmployeeApp","","","test_empty_database_message","Тест сообщения при пустой базе данных."
"passed","Fri Jan 03 19:44:42 UTC 2025","Fri Jan 03 19:44:42 UTC 2025","4","AppCreating.TestEnv","test_main","TestEmployeeApp","","","test_delete_employee","Тест удаления сотрудника."
"passed","Fri Jan 03 19:44:42 UTC 2025","Fri Jan 03 19:44:42 UTC 2025","8","AppCreating.TestEnv","test_main","TestEmployeeApp","","","test_update_all_fields","Тест обновления всех данных сотрудника."
"passed","Fri Jan 03 19:44:42 UTC 2025","Fri Jan 03 19:44:42 UTC 2025","3","AppCreating.TestEnv","test_main","TestEmployeeApp","","","test_update_specific_field","Тест обновления отдельного поля сотрудника."
"passed","Fri Jan 03 19:44:42 UTC 2025","Fri Jan 03 19:44:42 UTC 2025","3","AppCreating.TestEnv","test_main","TestEmployeeApp","","","test_invalid_email","Тест добавления сотрудника с некорректным email."
"passed","Fri Jan 03 19:44:42 UTC 2025","Fri Jan 03 19:44:42 UTC 2025","2","AppCreating.TestEnv","test_main","TestEmployeeApp","","","test_invalid_date","Тест добавления сотрудника с некорректной датой рождения."
"passed","Fri Jan 03 19:44:42 UTC 2025","Fri Jan 03 19:44:42 UTC 2025","2","AppCreating.TestEnv","test_main","TestEmployeeApp","","","test_view_employees_empty","Тест отображения сотрудников при пустой базе данных."
